,S&P 500,NASDAQ 100,Euro Stoxx 50,Nikkei 225,FTSE China A50,DAX,Hang Seng,FTSE 100,EURO BUND 10Y,EURO BOBL 5Y,EURO SCHATZ 2Y,US T-Note 10Y,US T-Note 5Y,US T-Note 2Y
2006-09-15,,,,,,,,,,,,,,
2006-09-18,-0.004267425320056972,-0.0003023431594859627,0.000783903841128808,0.0,0.0014801110083255686,-0.00041816509157810433,0.007333410324517953,0.004993652137113891,-0.0012794268167860556,-0.0010043827611395661,-0.00048160277403197504,-0.0014598130841121382,-0.0007458714773787012,-0.0005364385969041097
2006-09-19,0.003007518796992459,-0.006351126568879484,-0.010443864229765065,-0.0025236593059937418,0.0035100683539626143,-0.009119812583668008,-0.003955288048151373,-0.016422435573521965,0.0035015799812110338,0.0020107851201900395,0.0010600366194468691,0.005264694816170978,0.0032816115213389896,0.0016857333774227268
2006-09-20,0.0005997001499249421,0.012631258560340974,0.018733509234828416,-0.008222643896268145,0.00018409425625920406,0.014016718736806544,0.013754604051565478,0.011302337528898088,-0.0009361702127659299,-0.0005472954483262127,-0.000288794763188327,-0.0001461739208965529,-0.0004462017669208951,-0.0003820312109703572
2006-09-21,0.0025471980821096807,-0.005109708446047523,-0.004144004144004176,0.005739795918367374,0.008466777102889678,-0.005912232492297442,0.0031223389156969095,0.0007620015240030753,0.005366726296958779,0.003376836725381027,0.0012518054886856422,0.006256599739641988,0.0046105889351575335,0.0022195676693754773
2006-09-22,-0.007995815274248974,-0.007854984894259842,-0.002600780234070177,-0.01331642358909324,-0.00894323781711992,-0.004942201373764443,5.659309564243209e-05,-0.008375634517766462,0.0018640908320624039,0.001819174094960907,0.0010578957491824692,0.0028918449971082616,0.0017764614593134276,0.0003823085963701178
2006-09-25,0.005951035781544434,0.01431181485992683,0.008604954367666284,0.0012853470437017567,-0.004051565377532262,0.008334034851418481,-0.0019806462565785665,-0.0034126780991382555,0.0029600811907983804,0.0018158707100055516,0.0009607070804111828,0.002595617070357603,0.0016257717450518516,0.0006108735491752171
2006-09-26,0.001048375018720904,0.004803362353647644,0.007755946225439514,0.0,-0.01368343195266275,0.005259642678243415,-0.013892039011113577,0.010615529492338016,-0.0010118897040223285,-0.0013594344752583254,-0.0007678280065265275,-0.0025888972843728375,-0.0023605772272282666,-0.0009152625152625271
2006-09-27,0.0055356074207062456,0.0022408126680608653,0.0030785017957926097,0.02310654685494229,0.006749156355455588,0.0021592890955901556,0.013397734460353083,0.007708598051673121,-0.0007596859964548175,-0.0006352663581086215,-0.00028815675727600354,-0.0005767012687427631,-0.00014859501988995216,0.00022878082308297465
2006-09-28,0.002678172890938857,-0.002384856163362592,0.0007672634271098655,0.006900878293601087,0.01452513966480451,0.0013259302229220449,-0.0029505220154335543,0.008322125084061938,0.00033789491468150246,-0.00036324010170729615,-0.00028823981552650313,-0.0005770340450086398,-0.0001476704978957688,-7.624283146334676e-05
2006-09-29,0.001187119750704957,-0.0017929179740027168,0.000511116790186561,0.0031152647975076775,0.008627019089574084,0.0008276090374907952,-0.0007398133394036499,0.0,-0.002617801047120394,-0.0010901162790698526,-0.00048053820278703974,-0.0015879907621246803,-0.000887100591715928,-0.000382220771108277
2006-10-02,-0.0035571365051134674,-0.013471037269869757,-0.005108556832694733,0.011801242236024745,0.0,-0.0028942363350699107,0.0,-0.002917882451021314,0.0013546693760053685,0.0005456529647145381,0.00028846153846151523,0.0017348565528076954,0.0013323061499288524,0.0007637559188637955
2006-10-03,-0.004462293618920143,0.004096495220755614,0.002824133504492954,-0.0030693677102516803,0.0,0.004478354619339875,0.0042713138561421005,0.0016722408026756952,-0.0027056734590343856,-0.0007271405199054115,-0.0002883783523983663,-0.0005772840126503365,-0.0005914533570419156,-0.00030487834669945535
2006-10-04,0.0020170327207531535,0.022816560894530102,0.013056835637480724,-0.007389162561576401,0.0,0.012136723910171732,0.002154927980038579,0.00016694490818025542,0.003391267486222871,0.0015462979807168153,0.0005769230769230305,0.00346570477185959,0.0028113027817600056,0.0013743259107352745
2006-10-05,0.012450607619473697,0.005613827744127553,0.0012635835228709258,0.021091811414392092,0.0,-0.0004894363324904338,0.0168628338614758,0.006342847604740465,-0.0021123785382340943,-0.0010898192716375377,-0.00038439361906594804,-0.0030217880032898936,-0.0023605772272282666,-0.001144025152935213
2006-10-06,-0.00022091310751104487,-0.0011752607609812893,-0.0015143866733973166,0.0012150668286756705,0.0,0.0004080633314289539,-0.002615470228158001,-0.001575717366063989,-0.0035563082133783785,-0.001454677697972473,-0.0002884060757546436,-0.005917782909930724,-0.003993136235132311,-0.0016789132212950975
2006-10-09,-0.0011784635781101338,0.0026474481541403083,0.00025278058645095136,0.0,0.032757051865332176,-8.157937673358706e-05,-0.01333482117949003,0.006312816679126199,0.00025492861998621663,-0.00027314941272882365,-0.00028848927781521816,0.0,0.0,0.0
2006-10-10,0.0028021532335373855,0.00014669209329620791,0.004548900682335155,0.001820388349514479,-0.0035242290748899174,0.0051399200456880845,0.01040488577244969,0.0051176227816756015,-0.004247727465805817,-0.0030054644808743536,-0.0009619084263177147,-0.0037756924580937268,-0.002673080285533924,-0.0016063620158521807
2006-10-11,-0.0022795793808368936,0.0010266940451746365,0.0012578616352201255,-0.004239854633555473,-0.0015915119363395513,-0.0009740259740259605,-0.001175285426460726,0.0032027593003203236,-0.001023803429741399,-0.0005480953685941259,-0.0001925669170036448,-0.0016025655974500896,-0.001191008174127317,-0.0005363155221673743
2006-10-12,0.0042747641509433,0.015824175824175724,0.00929648241206027,-0.0036496350364964014,-0.004073680481757047,0.009099772505687387,0.005771278085952902,0.0032743942370661028,0.0016226834059269724,0.0010053925600950198,0.00048151001540830407,0.00043725527018745325,0.0002985840628608738,0.00015303494788487804
2006-10-13,0.005504183179216193,0.0036059425933938627,0.00024894199651481763,0.011599511599511558,0.0044460252534235245,0.0014492753623187582,0.0023398328690806824,0.008485639686684143,-0.0020463847203273655,-0.0005478451424397734,-9.625565501980571e-05,-0.0016044363880196588,-0.0008945311531439737,-0.0003825288294323492
2006-10-16,0.002043646449164438,0.0011497556769186623,0.0004977600796416404,0.00784550392275185,-0.013101983002832829,0.0012863804470171214,0.0013339261894174115,0.0037216828478965347,0.00042720437457277605,-9.135757354272744e-05,0.0,0.0016070147409461555,0.0007464282168956338,0.00030614017098717916
