,Portfolio Vol
2007-01-19,0.016293017840151226
2007-01-26,0.016217693323366974
2007-02-02,0.01600793074012949
2007-02-09,0.015629064012594642
2007-02-16,0.01592314691139149
2007-02-23,0.016037284990101524
2007-03-02,0.016409988375318298
2007-03-09,0.01540253932708296
2007-03-16,0.01552175052299287
2007-03-23,0.016170474296327272
2007-03-30,0.016112133185806666
2007-04-06,0.015609585120026064
2007-04-13,0.015217727276036364
2007-04-20,0.015889996415764263
2007-04-27,0.0154787888619392
2007-05-04,0.01607337764436248
2007-05-11,0.01523332265754622
2007-05-18,0.015494720347983815
2007-05-25,0.015835788005983304
2007-06-01,0.015165594870069412
2007-06-08,0.016547892328130333
2007-06-15,0.01781505780102897
2007-06-22,0.018072116718150073
2007-06-29,0.01807882449686892
2007-07-06,0.01861819433137084
2007-07-13,0.018870642510992824
2007-07-20,0.018976175263774913
2007-07-27,0.018127556753526886
2007-08-03,0.018991241842311067
2007-08-10,0.019176745920053865
2007-08-17,0.01891836480324686
2007-08-24,0.019215932882188976
2007-08-31,0.01999917950304218
2007-09-07,0.02003105833797224
2007-09-14,0.02016862488378137
2007-09-21,0.021749523656292874
2007-09-28,0.02174242213724749
2007-10-05,0.022516490543607978
2007-10-12,0.021589551709477676
2007-10-19,0.02061115540678419
2007-10-26,0.020440138079530584
2007-11-02,0.021018393350478247
2007-11-09,0.02035642387905143
2007-11-16,0.020489714632377115
2007-11-23,0.020091507948563164
2007-11-30,0.02128770056701642
2007-12-07,0.023800114728746612
2007-12-14,0.026185118652459583
2007-12-21,0.026437852522485147
2007-12-28,0.02616624662944481
2008-01-04,0.026183507036185803
2008-01-11,0.02625415047122282
2008-01-18,0.02666307875533014
2008-01-25,0.026185949052377692
2008-02-01,0.02703448181009463
2008-02-08,0.02690120457071452
2008-02-15,0.026731643135554733
2008-02-22,0.026492317386809065
2008-02-29,0.026533803812415498
2008-03-07,0.025543340625166083
2008-03-14,0.02554527952521747
2008-03-21,0.025577085797738437
2008-03-28,0.02518300628998785
2008-04-04,0.023696617084807164
2008-04-11,0.021058006006359545
2008-04-18,0.01947321407376346
2008-04-25,0.019921042775602173
2008-05-02,0.019927147518600863
2008-05-09,0.0195345679573165
2008-05-16,0.020014569802838784
2008-05-23,0.02187867982541022
2008-05-30,0.021068202358863194
2008-06-06,0.021459160485370683
2008-06-13,0.02296650062389448
2008-06-20,0.02387208446856471
2008-06-27,0.023875624225249283
2008-07-04,0.02555013143930735
2008-07-11,0.02821585498340719
2008-07-18,0.028399319396106158
2008-07-25,0.029880446589142663
2008-08-01,0.030949850911407995
2008-08-08,0.032098695831792486
2008-08-15,0.03267145921748276
2008-08-22,0.033347549213498945
2008-08-29,0.03334943652140076
2008-09-05,0.03421794421630668
2008-09-12,0.03405037875601924
2008-09-19,0.03454139279705604
2008-09-26,0.034058235155579965
2008-10-03,0.03391812452548451
2008-10-10,0.03966199166988913
2008-10-17,0.04163109590007754
2008-10-24,0.04139766339341328
2008-10-31,0.04459366168634032
2008-11-07,0.04412296232775064
2008-11-14,0.042941974005794435
2008-11-21,0.04219869352751762
2008-11-28,0.04128123207032453
2008-12-05,0.041319235470689546
2008-12-12,0.04048637440652045
2008-12-19,0.04218124922071299
2008-12-26,0.04116613119458699
2009-01-02,0.04086250836253545
2009-01-09,0.039944206213112066
2009-01-16,0.04027069629251228
2009-01-23,0.03376268321327758
2009-01-30,0.03408877281774593
2009-02-06,0.029447465851619843
2009-02-13,0.025584249942094524
2009-02-20,0.02843322467625644
2009-02-27,0.029249073119213122
2009-03-06,0.027587490567726095
2009-03-13,0.027813880588208068
2009-03-20,0.03154416882321289
2009-03-27,0.03224673098067718
2009-04-03,0.03162219294550565
2009-04-10,0.03167953064922931
2009-04-17,0.03239822103151569
2009-04-24,0.02948387194895925
2009-05-01,0.030302985169782425
2009-05-08,0.030746426123550465
2009-05-15,0.02990043511909429
2009-05-22,0.029178218226181458
2009-05-29,0.02949584374852275
2009-06-05,0.03495788813581249
2009-06-12,0.034896828066338446
2009-06-19,0.03557045700286788
2009-06-26,0.03547354538812755
2009-07-03,0.03509025158323044
2009-07-10,0.03415552100371725
2009-07-17,0.03337571816084589
2009-07-24,0.030772519640502285
2009-07-31,0.03048721114547405
2009-08-07,0.03158876947738109
2009-08-14,0.03157769690319955
2009-08-21,0.032407047385660984
2009-08-28,0.03220884659618461
2009-09-04,0.03500452054036576
2009-09-11,0.03486893009289989
2009-09-18,0.035322648590508335
2009-09-25,0.0347810005025601
2009-10-02,0.034234821225152305
2009-10-09,0.029501136859083253
2009-10-16,0.028946405802049182
2009-10-23,0.028855049636683193
2009-10-30,0.027954725685161077
2009-11-06,0.028166539780756856
2009-11-13,0.028235722287818225
2009-11-20,0.028363302792152552
2009-11-27,0.027746330394032438
2009-12-04,0.028245703627476207
2009-12-11,0.026987169044649418
2009-12-18,0.02619224227943173
2009-12-25,0.025112441826010485
2010-01-01,0.02435455507903015
2010-01-08,0.01899387333357929
2010-01-15,0.018395273770043265
2010-01-22,0.018131414348677745
2010-01-29,0.01822678981438338
2010-02-05,0.01813181889193074
2010-02-12,0.018049943646455808
2010-02-19,0.017698855031748218
2010-02-26,0.017116529216337252
2010-03-05,0.019716751063992066
2010-03-12,0.01959128673908807
2010-03-19,0.019146361502839947
2010-03-26,0.018418132016054817
