,Portfolio Vol
2017-01-06,0.10374648666279973
2017-01-13,0.10273268937938117
2017-01-20,0.09971245940170495
2017-01-27,0.09844314313056969
2017-02-03,0.0967725163385926
2017-02-10,0.09685364010344266
2017-02-17,0.09705178092044439
2017-02-24,0.09733648963148743
2017-03-03,0.09865255279822949
2017-03-10,0.09299740346046087
2017-03-17,0.08761637661607528
2017-03-24,0.08801400515682027
2017-03-31,0.0906127895668114
2017-04-07,0.08969358976277958
2017-04-14,0.08220959792369557
2017-04-21,0.07873060762892514
2017-04-28,0.07793503778784366
2017-05-05,0.07773652109506494
2017-05-12,0.0732596549001228
2017-05-19,0.07156217626660284
2017-05-26,0.07142598520367194
2017-06-02,0.07059657220654647
2017-06-09,0.06831282701396499
2017-06-16,0.06713331836182891
2017-06-23,0.06697923241636576
2017-06-30,0.07067430407770126
2017-07-07,0.07030431719227379
2017-07-14,0.0722544376532793
2017-07-21,0.07527803386128101
2017-07-28,0.07591190943417707
2017-08-04,0.0742342373667176
2017-08-11,0.07604186856105562
2017-08-18,0.07930708816093329
2017-08-25,0.07971472931044837
2017-09-01,0.08327958013928902
2017-09-08,0.08295068560831942
2017-09-15,0.0840170066974082
2017-09-22,0.0808665694300892
2017-09-29,0.08191844794007146
2017-10-06,0.08274237213364546
2017-10-13,0.08243791109984662
2017-10-20,0.0828264359508209
2017-10-27,0.08657071722054081
2017-11-03,0.08274952298682334
2017-11-10,0.08091343203332668
2017-11-17,0.08383959439201606
2017-11-24,0.08103514523867951
2017-12-01,0.08057574031909731
2017-12-08,0.07897918866944419
2017-12-15,0.07696783683980658
2017-12-22,0.07553854090488041
2017-12-29,0.07404842233761515
2018-01-05,0.07110378368779009
2018-01-12,0.07305871495357903
2018-01-19,0.07201345049255295
2018-01-26,0.07526494229416883
2018-02-02,0.08095368312451795
2018-02-09,0.09528636545312717
2018-02-16,0.09803379748387332
2018-02-23,0.10017629189325074
2018-03-02,0.10046584661717105
2018-03-09,0.10300270953712246
2018-03-16,0.10344442501959794
2018-03-23,0.10892970280029697
2018-03-30,0.11013365221485685
2018-04-06,0.11490102989250381
2018-04-13,0.11508222481938074
2018-04-20,0.115315757360418
2018-04-27,0.1161151440540642
2018-05-04,0.11682323651130573
2018-05-11,0.11620415565862904
2018-05-18,0.11471800151616288
2018-05-25,0.11430279916810208
2018-06-01,0.11297956162392143
2018-06-08,0.1088362174398814
2018-06-15,0.09573411514956587
2018-06-22,0.09539282282117362
2018-06-29,0.09461926874583411
2018-07-06,0.0883044241060812
2018-07-13,0.08676845162170355
2018-07-20,0.08639800640176268
2018-07-27,0.07403148314659147
2018-08-03,0.07364042270328452
2018-08-10,0.06448552905048247
2018-08-17,0.06506391308561356
2018-08-24,0.06658802965451305
2018-08-31,0.06439003008913086
2018-09-07,0.06453738602021461
2018-09-14,0.0639598975853343
2018-09-21,0.06392393931944013
2018-09-28,0.06610589256358852
